frame_number,timestamp,total_crowd_count,overall_density,zone_1_1_density,zone_1_2_density,zone_1_3_density,zone_2_1_density,zone_2_2_density,zone_2_3_density,zone_3_1_density,zone_3_2_density,zone_3_3_density,alerts_count,high_alerts,medium_alerts
1,2025-08-23T07:46:04.046929,4,3.892474265620462e-05,6.409762820727389e-05,3.613497484737719e-05,6.319202587638102e-05,1.6532346448847946e-05,6.104598582630427e-05,8.600101294651837e-05,3.1713678331022533e-06,1.694776878600389e-05,3.1995731340327734e-06,0,0,0
2,2025-08-23T07:46:04.318892,4,4.6378230539052884e-05,8.716132019607114e-05,4.431742807509194e-05,6.910695786207495e-05,2.2946285005186643e-05,7.821895496945986e-05,8.464431468869598e-05,2.9299047473870535e-06,2.4046077274940383e-05,4.0328320325680185e-06,0,0,0
3,2025-08-23T07:46:04.613938,5,4.77860746934357e-05,8.554015256149668e-05,4.6991787745919023e-05,7.781898471671092e-05,2.0921104390856245e-05,6.935403905284237e-05,0.00010015242536303023,1.1922598121241785e-06,2.401568205423758e-05,4.088236543704087e-06,0,0,0
4,2025-08-23T07:46:04.891455,5,4.974658548517126e-05,7.901494981537403e-05,5.1146000623703e-05,7.497061726073144e-05,1.9364649246276264e-05,8.800863485101243e-05,0.00010241912284367521,1.752824509437655e-06,2.5038738590730747e-05,6.0037316256006e-06,0,0,0
5,2025-08-23T07:46:05.167047,5,5.370752378738542e-05,7.16864223211584e-05,5.723649347332162e-05,7.684106977892594e-05,1.2046071162945788e-05,9.96631425870976e-05,0.00013225235989396,6.271254035158896e-06,2.21683499468884e-05,5.202550887012146e-06,0,0,0
6,2025-08-23T07:46:05.436449,5,5.290500396288383e-05,7.55813759817204e-05,5.148079928377984e-05,7.835743083080775e-05,1.4648564212339026e-05,9.438716609713057e-05,0.0001242197105582331,7.1817012110226594e-06,2.673667868677999e-05,3.551608804141132e-06,0,0,0
7,2025-08-23T07:46:05.714236,5,5.4255218051245694e-05,8.410872288153205e-05,5.712787240323886e-05,9.671801202733752e-05,1.677037675825643e-05,9.107463796373824e-05,0.00010436493116365353,1.2736562901819256e-05,2.0102263283981403e-05,5.293583077654033e-06,0,0,0
8,2025-08-23T07:46:05.980103,5,5.707541146900079e-05,8.124792030159856e-05,7.156817845895256e-05,8.87328050505947e-05,1.6904270774881605e-05,8.947828286130663e-05,0.0001292117674585799,5.828290128372085e-06,2.0381957817245538e-05,1.0325230369475525e-05,0,0,0
9,2025-08-23T07:46:06.245653,6,6.195431500848192e-05,8.593800831848467e-05,7.686469126755082e-05,9.056002321377606e-05,2.2376748457760877e-05,9.155491708030163e-05,0.00014004965483302803,1.875069517065102e-05,2.06173332014554e-05,1.0876763533328621e-05,0,0,0
10,2025-08-23T07:46:06.511900,6,6.464284295230779e-05,8.853184924998754e-05,7.771642904886058e-05,9.498298168182373e-05,2.670980412775362e-05,9.806809920660206e-05,0.00014537839402615184,1.5017749662970153e-05,2.3463009004022034e-05,1.1917270562598402e-05,0,0,0
11,2025-08-23T07:46:06.776677,6,6.321800759000957e-05,7.884799384735e-05,6.497728992515886e-05,8.248656358517391e-05,2.4888113560810894e-05,0.0001078802934834655,0.00014643280858724888,2.2640189444515068e-05,3.073244342501734e-05,1.0076372451345686e-05,0,0,0
12,2025-08-23T07:46:07.043803,7,6.947765835154224e-05,8.479084976961915e-05,7.267294215484405e-05,8.650723267608965e-05,2.630325690121718e-05,0.00012834535937913708,0.0001519515061042678,3.2463257896228574e-05,2.9639375041907942e-05,1.2625145240568779e-05,0,0,0
13,2025-08-23T07:46:07.318291,7,6.790282452516901e-05,8.470296439990191e-05,7.343589734863228e-05,8.51694127203713e-05,2.8897124067158766e-05,0.0001240529434781679,0.00014299536255043998,2.9188001029927966e-05,2.9929499076285833e-05,1.2754216055634995e-05,0,0,0
14,2025-08-23T07:46:07.586530,7,7.02114071819424e-05,8.5251337625611e-05,7.539651763271278e-05,8.308179676532745e-05,2.4518740533942908e-05,0.00012430324101112258,0.00014963173110720137,4.367411241564952e-05,3.273747861385345e-05,1.3307708932060591e-05,0,0,0
15,2025-08-23T07:46:07.854964,7,6.936357468833012e-05,8.917400534723846e-05,7.298273939481923e-05,8.30456876838711e-05,2.64932126016684e-05,0.00011749422886002232,0.00012761973579164963,5.705307277155594e-05,3.4170571557233033e-05,1.6238918186913074e-05,0,0,0
16,2025-08-23T07:46:08.121663,7,7.380213783777003e-05,8.56816139019711e-05,7.665538242165472e-05,9.812058907159618e-05,2.625739123200027e-05,0.00012050925845831213,0.0001451511408241702,5.2476380492599915e-05,4.0442071540254945e-05,1.892541259737082e-05,0,0,0
17,2025-08-23T07:46:08.388780,7,7.326551355969553e-05,8.949050810975089e-05,7.466442987952434e-05,9.879505550357658e-05,3.259657344347994e-05,0.00010470886465529321,0.00014535706018058348,6.311257750215665e-05,3.122548821946265e-05,1.9439064543431914e-05,0,0,0
18,2025-08-23T07:46:08.671202,7,7.465448367507057e-05,8.725755336418958e-05,7.976018626924971e-05,0.0001024822429032393,2.7355215918849892e-05,0.00011388455897989408,0.00015412157690021354,6.395928876500734e-05,2.7800272677985715e-05,1.5269457297006122e-05,0,0,0
19,2025-08-23T07:46:08.938848,7,7.353295209192334e-05,9.369743122181422e-05,8.508132272203203e-05,0.0001077256677016406,2.3413869276852676e-05,0.00012178549044568774,0.00014669184743518562,4.8116384677484004e-05,2.43590095303428e-05,1.0925545816270398e-05,0,0,0
