frame_number,timestamp,total_crowd_count,overall_density,zone_1_1_density,zone_1_2_density,zone_1_3_density,zone_2_1_density,zone_2_2_density,zone_2_3_density,zone_3_1_density,zone_3_2_density,zone_3_3_density,alerts_count,high_alerts,medium_alerts
1,2025-08-23T11:24:57.778082,4,3.8900318e-05,6.405564e-05,3.6103163e-05,6.317011e-05,1.6505757e-05,6.1021314e-05,8.596464e-05,3.1707395e-06,1.6923488e-05,3.1879847e-06,0,0,0
2,2025-08-23T11:24:57.843740,4,4.6344685e-05,8.709985e-05,4.4275464e-05,6.906033e-05,2.2926708e-05,7.818623e-05,8.4599e-05,2.9233606e-06,2.40184e-05,4.0128048e-06,0,0,0
3,2025-08-23T11:24:57.963336,5,4.7751106e-05,8.5489504e-05,4.693764e-05,7.7764314e-05,2.0895151e-05,6.93152e-05,0.000100117526,1.1866664e-06,2.3981705e-05,4.072225e-06,0,0,0
4,2025-08-23T11:24:58.020131,5,4.9706352e-05,7.8968806e-05,5.1098647e-05,7.4919604e-05,1.9350939e-05,8.795061e-05,0.00010234148,1.743385e-06,2.5003787e-05,5.9799454e-06,0,0,0
5,2025-08-23T11:24:58.075707,5,5.3674597e-05,7.167129e-05,5.720065e-05,7.678816e-05,1.2025866e-05,9.962713e-05,0.00013217326,6.2647327e-06,2.2133652e-05,5.1866596e-06,0,0,0
6,2025-08-23T11:24:58.128383,5,5.2873664e-05,7.5535245e-05,5.1439623e-05,7.832429e-05,1.46228895e-05,9.43585e-05,0.00012417677,7.172139e-06,2.6703621e-05,3.5299051e-06,0,0,0
7,2025-08-23T11:24:58.174764,5,5.421303e-05,8.406068e-05,5.7081532e-05,9.66608e-05,1.6744698e-05,9.101371e-05,0.0001043018,1.2704157e-05,2.0070873e-05,5.279018e-06,0,0,0
8,2025-08-23T11:24:58.220613,5,5.7044686e-05,8.122093e-05,7.153352e-05,8.8700064e-05,1.6880571e-05,8.942716e-05,0.00012915253,5.8196433e-06,2.0356618e-05,1.0311166e-05,0,0,0
9,2025-08-23T11:24:58.266936,6,6.192277e-05,8.590315e-05,7.682282e-05,9.050251e-05,2.2353513e-05,9.153373e-05,0.00014000067,1.8739365e-05,2.0590069e-05,1.085908e-05,0,0,0
10,2025-08-23T11:24:58.313542,6,6.460506e-05,8.848257e-05,7.76681e-05,9.492903e-05,2.668171e-05,9.801238e-05,0.00014533476,1.5001477e-05,2.3437533e-05,1.1897918e-05,0,0,0
11,2025-08-23T11:24:58.426307,6,6.318382e-05,7.880692e-05,6.4937216e-05,8.2435094e-05,2.486878e-05,0.00010783408,0.00014639828,2.2623599e-05,3.069856e-05,1.0051897e-05,0,0,0
12,2025-08-23T11:24:58.470751,7,6.943461e-05,8.47436e-05,7.26318e-05,8.645318e-05,2.626987e-05,0.00012828209,0.00015188743,3.243883e-05,2.9602526e-05,1.2602118e-05,0,0,0
13,2025-08-23T11:24:58.515780,7,6.785656e-05,8.464372e-05,7.338884e-05,8.51063e-05,2.8872968e-05,0.00012398647,0.00014291662,2.9177798e-05,2.9889436e-05,1.272689e-05,0,0,0
14,2025-08-23T11:24:58.559787,7,7.017171e-05,8.518985e-05,7.534786e-05,8.301395e-05,2.449118e-05,0.00012424246,0.0001495591,4.370054e-05,3.2706568e-05,1.3293806e-05,0,0,0
15,2025-08-23T11:24:58.603847,7,6.932227e-05,8.911957e-05,7.294494e-05,8.298745e-05,2.6461734e-05,0.00011742243,0.00012757316,5.7039935e-05,3.4127494e-05,1.6223674e-05,0,0,0
16,2025-08-23T11:24:58.647495,7,7.376293e-05,8.561712e-05,7.662006e-05,9.8052486e-05,2.62301e-05,0.000120465775,0.0001451282,5.244432e-05,4.039982e-05,1.8908488e-05,0,0,0
17,2025-08-23T11:24:58.692378,7,7.3226525e-05,8.94195e-05,7.461642e-05,9.871396e-05,3.2576383e-05,0.00010466307,0.00014531167,6.3125255e-05,3.1193347e-05,1.9419042e-05,0,0,0
18,2025-08-23T11:24:58.737015,7,7.461054e-05,8.718311e-05,7.9717945e-05,0.000102417194,2.7343163e-05,0.000113807495,0.00015402342,6.396399e-05,2.7778848e-05,1.525974e-05,0,0,0
19,2025-08-23T11:24:58.781463,7,7.3498064e-05,9.36495e-05,8.505253e-05,0.00010765964,2.340098e-05,0.00012171278,0.00014661337,4.814597e-05,2.4337744e-05,1.0910116e-05,0,0,0
20,2025-08-23T11:24:58.825440,7,6.75519e-05,7.492907e-05,7.252618e-05,0.00010757996,2.2786076e-05,0.00010946319,0.0001135871,6.840609e-05,2.9505369e-05,9.184062e-06,0,0,0
21,2025-08-23T11:24:58.868863,7,6.795177e-05,7.756398e-05,7.7911114e-05,8.684751e-05,2.7224076e-05,0.000106601125,0.00014386336,6.100449e-05,2.0515288e-05,1.0034957e-05,0,0,0
22,2025-08-23T11:24:58.912965,6,6.3280255e-05,8.1179765e-05,6.516258e-05,9.128533e-05,2.5587855e-05,8.721821e-05,0.00013792567,6.134511e-05,1.082888e-05,8.988833e-06,0,0,0
23,2025-08-23T11:24:58.956645,5,5.6322624e-05,7.778544e-05,5.9646976e-05,9.2294096e-05,2.2879936e-05,7.9299716e-05,0.00011741346,3.9492155e-05,7.3693795e-06,1.0722435e-05,0,0,0
24,2025-08-23T11:24:59.001065,5,5.593275e-05,8.0057674e-05,4.974009e-05,8.36486e-05,3.1973806e-05,6.0413957e-05,0.00011642595,5.936142e-05,9.058552e-06,1.2714715e-05,0,0,0
25,2025-08-23T11:24:59.045807,6,5.9829108e-05,7.405613e-05,4.8897677e-05,8.763969e-05,2.7266664e-05,6.132522e-05,0.00013246913,7.654275e-05,1.599595e-05,1.42688195e-05,0,0,0
26,2025-08-23T11:24:59.089853,6,6.347657e-05,9.473062e-05,4.933689e-05,8.857691e-05,4.026851e-05,6.010316e-05,0.000117035524,8.313232e-05,1.6015052e-05,2.2090147e-05,0,0,0
27,2025-08-23T11:24:59.134762,6,6.458236e-05,9.474695e-05,4.959269e-05,8.758272e-05,3.62215e-05,5.5066448e-05,0.0001365511,8.717141e-05,1.1372944e-05,2.2935508e-05,0,0,0
28,2025-08-23T11:24:59.179111,6,6.142483e-05,8.728139e-05,4.505366e-05,7.482365e-05,3.5298504e-05,5.76651e-05,0.00012564204,9.3854935e-05,8.351541e-06,2.4852603e-05,0,0,0
29,2025-08-23T11:24:59.223150,6,6.334797e-05,9.167767e-05,4.880177e-05,8.015448e-05,3.9422794e-05,6.759555e-05,0.00012561488,8.486914e-05,8.130266e-06,2.3865194e-05,0,0,0
30,2025-08-23T11:24:59.267281,6,6.3839594e-05,9.625571e-05,5.3579388e-05,7.2932744e-05,4.4914203e-05,7.619023e-05,0.00012731794,6.7390414e-05,1.3251416e-05,2.272431e-05,0,0,0
31,2025-08-23T11:24:59.312994,7,6.717021e-05,9.518356e-05,5.3807213e-05,7.9646205e-05,3.7239402e-05,8.73026e-05,0.00012528744,7.79166e-05,2.3225202e-05,2.4923616e-05,0,0,0
32,2025-08-23T11:24:59.357564,7,6.773228e-05,9.513573e-05,5.365156e-05,8.529861e-05,3.7331327e-05,8.344996e-05,0.0001301274,7.663393e-05,2.5639389e-05,2.2322658e-05,0,0,0
33,2025-08-23T11:24:59.402213,7,6.937318e-05,0.0001000357,5.762049e-05,8.914378e-05,3.8357346e-05,8.5506654e-05,0.00015948384,5.6926026e-05,2.132878e-05,1.5955917e-05,0,0,0
