frame_number,timestamp,total_crowd_count,overall_density,zone_1_1_density,zone_1_2_density,zone_1_3_density,zone_2_1_density,zone_2_2_density,zone_2_3_density,zone_3_1_density,zone_3_2_density,zone_3_3_density,alerts_count,high_alerts,medium_alerts
1,2025-08-23T08:10:59.726324,187,0.00020302630929412168,9.000591235235334e-06,-6.45706313662231e-06,6.733131158398464e-07,0.0002784138917922974,0.0010044968128204346,0.00032240815460681915,4.776011221110821e-05,6.656979210674763e-05,0.00010437117889523506,0,0,0
2,2025-08-23T08:11:02.143048,193,0.000210308415254177,9.153239079751075e-06,-6.062134634703397e-06,7.327594357775524e-07,0.00029261620715260507,0.0010775407403707505,0.0003211641684174538,4.9986550584435464e-05,6.589962169528007e-05,8.174458518624306e-05,0,0,0
3,2025-08-23T08:11:04.559622,185,0.00020134317259362436,7.4170052539557214e-06,-4.435164737515152e-06,-4.549448931356892e-07,0.00026995016261935237,0.001024101823568344,0.0003157976269721985,4.684942308813333e-05,6.395051255822181e-05,8.8912108913064e-05,0,0,0
4,2025-08-23T08:11:06.973434,194,0.00021097990760608808,7.719765417277813e-06,-3.2158009707927704e-06,8.291786798508838e-08,0.0002535911835730076,0.0010810934752225876,0.00035100288689136503,4.612251184880733e-05,6.584009155631065e-05,9.658213704824448e-05,0,0,0
5,2025-08-23T08:11:09.406443,201,0.00021886955357331317,9.073580149561168e-06,-2.9785075457766654e-06,1.1024751438526437e-06,0.0002670455351471901,0.0011503000557422638,0.00033650841563940046,4.274362698197365e-05,6.0992245562374595e-05,0.00010503855533897876,0,0,0
6,2025-08-23T08:11:11.818348,207,0.00022510610482034583,6.925990455783904e-06,-3.3867271849885582e-06,2.5248958263546227e-06,0.00025701479986310003,0.0011995857954025268,0.0003694804757833481,4.078698344528675e-05,5.574945826083422e-05,9.727327153086663e-05,0,0,0
7,2025-08-23T08:11:14.250838,203,0.00022087411469935128,7.560054073110223e-06,-3.162780194543302e-06,3.789906622841954e-06,0.000291504617780447,0.001094522327184677,0.00035691872239112854,4.036306869238615e-05,5.742255598306656e-05,0.00013894855976104737,0,0,0
8,2025-08-23T08:11:16.669423,191,0.0002079310979267272,6.304407143034041e-06,-4.164960701018572e-06,2.5069565162993966e-06,0.0002806112729012966,0.0010021615773439408,0.0003687805309891701,4.6180859208106994e-05,5.949285812675953e-05,0.00010950637981295586,0,0,0
9,2025-08-23T08:11:19.091792,189,0.00020525143672582796,7.187904557213187e-06,-2.45609728153795e-06,3.2098955125547945e-06,0.0002771775424480438,0.0009904532134532929,0.0003732188418507576,4.734833259135485e-05,5.8641512878239156e-05,9.248178452253341e-05,0,0,0
10,2025-08-23T08:11:21.496841,196,0.00021250702346959667,6.494143162854016e-06,-5.199637962505222e-06,2.0691673853434623e-06,0.0002678927220404148,0.001060371994972229,0.0003662479296326637,5.152626894414425e-05,6.435987073928117e-05,9.880075231194496e-05,0,0,0
11,2025-08-23T08:11:23.934790,194,0.00021053025531323833,8.0945307854563e-06,-4.0103396167978645e-06,3.3369113225489853e-06,0.00025333981961011886,0.0010562249273061751,0.00037116870284080504,4.83598280698061e-05,6.723267491906882e-05,9.102524258196354e-05,0,0,0
12,2025-08-23T08:11:26.370744,200,0.00021789828806908593,7.075513713061809e-06,-4.976727068424225e-06,2.696181181818247e-06,0.00022988155484199524,0.0011444829404354095,0.00039031967520713806,4.793834872543812e-05,6.725467741489411e-05,7.641242817044258e-05,0,0,0
13,2025-08-23T08:11:28.817848,211,0.0002287982587909533,7.748864591121674e-06,-4.8981868894770745e-06,3.137901076115668e-06,0.000291790459305048,0.0011933043599128724,0.00038262128829956053,4.8865806311368944e-05,6.85653043910861e-05,6.804853212088346e-05,0,0,0
14,2025-08-23T08:11:31.269989,199,0.00021616030604087024,6.8276328966021536e-06,-3.932354447897524e-06,2.848445437848568e-06,0.0002546490170061588,0.0011325893551111222,0.0003719498962163925,4.964904859662056e-05,6.364193744957447e-05,6.721977610141039e-05,0,0,0
15,2025-08-23T08:11:33.689665,201,0.000218345082410249,5.0535757327452304e-06,-3.042912285309285e-06,2.5430042296648027e-06,0.00024739332497119903,0.0011643921583890915,0.0003790900111198425,4.9919020384550094e-05,5.836778320372105e-05,6.138977594673634e-05,0,0,0
16,2025-08-23T08:11:36.178656,201,0.00021819718240294607,5.609862855635584e-06,-2.702822093851864e-06,2.780653885565698e-06,0.0002406790666282177,0.0011812369525432587,0.00036739055067300794,4.517712630331516e-05,5.73045015335083e-05,6.629874929785729e-05,0,0,0
17,2025-08-23T08:11:38.617373,196,0.000212466226463827,6.146475789137184e-06,-2.7079577557742596e-06,3.7853571120649578e-06,0.00024324670433998108,0.0011829761415719986,0.000316079705953598,4.7904476523399354e-05,5.468474235385656e-05,6.008039228618145e-05,0,0,0
18,2025-08-23T08:11:41.062973,193,0.0002101691312661084,6.119789322838187e-06,-3.2054237090051175e-06,3.6937984987162053e-06,0.0002555189095437527,0.0011446263641119003,0.00032891593873500823,4.7560189850628374e-05,5.331221036612988e-05,5.498040467500687e-05,0,0,0
19,2025-08-23T08:11:43.482002,189,0.00020498242950351493,5.466705770231783e-06,-3.877745184581727e-06,4.193835193291306e-06,0.00026464290916919706,0.0010786560922861098,0.00034776326268911364,4.639617167413235e-05,5.0902245566248896e-05,5.0698388367891315e-05,0,0,0
