frame_number,timestamp,total_crowd_count,overall_density,zone_1_1_density,zone_1_2_density,zone_1_3_density,zone_2_1_density,zone_2_2_density,zone_2_3_density,zone_3_1_density,zone_3_2_density,zone_3_3_density,alerts_count,high_alerts,medium_alerts
1,2025-08-23T11:30:42.769475,206,0.00020202367,5.7907568e-05,7.3361196e-05,5.5267603e-05,0.00029759877,0.0003462548,0.00025799594,0.00013707836,0.0003068301,0.0002859187,0,0,0
2,2025-08-23T11:30:43.056462,204,0.00020016407,5.716136e-05,7.197552e-05,5.500002e-05,0.00029374036,0.00034263617,0.00025737978,0.00013611982,0.00030352778,0.00028393586,0,0,0
3,2025-08-23T11:30:43.337345,203,0.00019933078,5.7964564e-05,7.237812e-05,5.4639186e-05,0.00029213887,0.0003379674,0.00025502278,0.00013724173,0.00030181103,0.00028481332,0,0,0
4,2025-08-23T11:30:43.625282,203,0.00019919331,5.7773315e-05,7.191834e-05,5.4532225e-05,0.0002920093,0.00033744634,0.0002550761,0.00013751414,0.00030206062,0.00028440947,0,0,0
5,2025-08-23T11:30:43.902461,203,0.00019910284,5.7528257e-05,7.155296e-05,5.430431e-05,0.00029198575,0.00033694902,0.00025556923,0.0001376744,0.00030201944,0.0002843422,0,0,0
6,2025-08-23T11:30:44.185903,202,0.00019779481,5.7528257e-05,7.164923e-05,5.4296823e-05,0.00029198575,0.00032945405,0.0002555771,0.0001376744,0.0002975784,0.00028440935,0,0,0
7,2025-08-23T11:30:44.466685,201,0.00019733766,5.7528257e-05,7.169815e-05,5.4298405e-05,0.00029198575,0.00032914724,0.00025558847,0.0001376744,0.00029378533,0.00028433301,0,0,0
8,2025-08-23T11:30:44.746058,201,0.00019678392,5.7528257e-05,7.170145e-05,5.4298405e-05,0.00029198575,0.00032532756,0.00025558847,0.0001376744,0.00029261797,0.00028433301,0,0,0
9,2025-08-23T11:30:45.020408,201,0.00019714386,5.7528257e-05,7.171541e-05,5.4298405e-05,0.00029198575,0.00032905134,0.00025558847,0.0001376744,0.00029211972,0.00028433301,0,0,0
10,2025-08-23T11:30:45.297231,204,0.000199764,5.9479833e-05,7.2787e-05,5.547737e-05,0.0003007122,0.00033111736,0.00025870476,0.00013709074,0.00029722514,0.00028528183,0,0,0
11,2025-08-23T11:30:45.578213,205,0.00020155334,6.0235277e-05,7.315675e-05,5.5545162e-05,0.00030684963,0.00033034862,0.00025939904,0.000138808,0.0003021298,0.00028750775,0,0,0
12,2025-08-23T11:30:45.857885,197,0.00019306278,5.2711366e-05,6.5421256e-05,5.3932323e-05,0.00029383413,0.00031540848,0.0002570159,0.00013189722,0.00029062055,0.00027672364,0,0,0
13,2025-08-23T11:30:46.138256,198,0.00019425042,5.033283e-05,6.602832e-05,5.4569115e-05,0.00028963113,0.00032461528,0.00025847417,0.00013008568,0.00029581843,0.00027869875,0,0,0
14,2025-08-23T11:30:46.418568,190,0.00018663825,4.5437704e-05,6.5897955e-05,5.4554275e-05,0.00026021092,0.00032018078,0.00024568394,0.00012732272,0.00029001097,0.00027044493,0,0,0
15,2025-08-23T11:30:46.700527,195,0.00019110498,4.6209218e-05,6.711069e-05,5.8257243e-05,0.00027410328,0.00031024983,0.0002546111,0.00013948984,0.0002974487,0.00027246482,0,0,0
16,2025-08-23T11:30:46.985039,186,0.00018290065,4.062165e-05,7.289928e-05,5.9214723e-05,0.0002374572,0.00030340077,0.0002475707,0.00013808718,0.00028401276,0.0002628416,0,0,0
17,2025-08-23T11:30:47.330805,188,0.00018414488,3.950421e-05,7.202801e-05,6.2357445e-05,0.000249026,0.00029921698,0.0002534084,0.00013352244,0.0002877716,0.00026046907,0,0,0
18,2025-08-23T11:30:47.613276,184,0.00018074746,3.935001e-05,7.225117e-05,6.269958e-05,0.0002552845,0.00029940132,0.0002358198,0.00013349304,0.000278994,0.00024943386,0,0,0
