frame_number,timestamp,total_crowd_count,overall_density,zone_1_1_density,zone_1_2_density,zone_1_3_density,zone_2_1_density,zone_2_2_density,zone_2_3_density,zone_3_1_density,zone_3_2_density,zone_3_3_density,alerts_count,high_alerts,medium_alerts
1,2025-08-23T10:19:01.313113,159,0.0014968531,2.407176e-05,0.00013477869,1.6463086e-05,0.0060198125,0.0021917894,0.0022490413,0.0005239922,0.0004813923,0.0018303364,0,0,0
2,2025-08-23T10:19:01.358700,150,0.0014233183,2.684372e-05,0.00015058527,2.2700571e-05,0.0055679255,0.002233626,0.0021821137,0.00048050293,0.00042498935,0.0017205769,0,0,0
3,2025-08-23T10:19:01.401674,140,0.0013195336,2.6214908e-05,0.00013812448,1.3368195e-05,0.005232178,0.0020332432,0.0019305712,0.00057780644,0.00040724486,0.0015170497,0,0,0
4,2025-08-23T10:19:01.444700,149,0.0014181915,2.719017e-05,0.00013070996,1.1646978e-05,0.0058618197,0.0020849516,0.0020860666,0.00071897404,0.00041486684,0.001427498,0,0,0
5,2025-08-23T10:19:01.481644,159,0.0015187857,2.5111902e-05,0.00014813476,1.0082371e-05,0.006454042,0.0021355718,0.0022541971,0.0005946433,0.0005062971,0.0015409918,0,0,0
6,2025-08-23T10:19:01.513857,144,0.0013785581,3.220082e-05,9.273227e-05,7.5611474e-06,0.006066266,0.0022630545,0.001844883,0.00052136765,0.00039675558,0.0011822028,0,0,0
7,2025-08-23T10:19:01.546255,147,0.0014120152,3.307879e-05,8.522517e-05,7.955666e-06,0.005903824,0.0023872554,0.0017884709,0.0006660899,0.00040807194,0.0014281642,0,0,0
8,2025-08-23T10:19:01.578761,145,0.0013926245,3.2640295e-05,8.5887565e-05,8.89161e-06,0.0060161417,0.0023252333,0.0017069245,0.0005578776,0.00053022837,0.0012697955,0,0,0
9,2025-08-23T10:19:01.610430,155,0.0014793271,2.8999966e-05,9.0431684e-05,1.0570524e-05,0.0060982746,0.002382422,0.0019746288,0.0005977665,0.0004915068,0.0016393416,0,0,0
10,2025-08-23T10:19:01.642938,156,0.0014995361,2.8916931e-05,9.2525195e-05,9.4237075e-06,0.0063111736,0.002715404,0.0019008089,0.0006292796,0.00044508514,0.0013632075,0,0,0
11,2025-08-23T10:19:01.675387,148,0.0014110091,2.9749255e-05,9.0463145e-05,9.030809e-06,0.005949233,0.0026339097,0.0019055175,0.0005849266,0.00033009253,0.0011661592,0,0,0
12,2025-08-23T10:19:01.708223,159,0.0015187251,2.6854537e-05,9.8266515e-05,7.833536e-06,0.0063023204,0.0029054852,0.0020098176,0.00052919507,0.0004290442,0.0013597091,0,0,0
13,2025-08-23T10:19:01.740449,149,0.0014290526,3.2334883e-05,7.5064454e-05,6.3982943e-06,0.006332721,0.0025025771,0.0019531252,0.0004487968,0.00048346457,0.0010269897,0,0,0
14,2025-08-23T10:19:01.773017,158,0.0015062848,4.0987186e-05,9.661577e-05,6.7256615e-06,0.006568537,0.002527117,0.0020224226,0.0005078298,0.0005932894,0.0011930382,0,0,0
15,2025-08-23T10:19:01.805073,166,0.0015757916,3.2091848e-05,0.00013134637,5.9685694e-06,0.0067188423,0.0026510102,0.0021332067,0.00051469594,0.00061631453,0.0013786466,0,0,0
16,2025-08-23T10:19:01.837333,149,0.0014256495,3.0084986e-05,6.177898e-05,5.6602794e-06,0.00643701,0.0022004528,0.0019424304,0.00049324933,0.0005301617,0.0011300163,0,0,0
