frame_number,timestamp,total_crowd_count,overall_density,zone_1_1_density,zone_1_2_density,zone_1_3_density,zone_2_1_density,zone_2_2_density,zone_2_3_density,zone_3_1_density,zone_3_2_density,zone_3_3_density,alerts_count,high_alerts,medium_alerts
1,2025-08-23T10:10:22.728297,133,6.442498e-05,2.5447709e-05,4.5498444e-05,3.3718436e-05,0.000107474676,0.00018124405,4.025701e-05,2.7410511e-05,4.0536605e-05,7.823737e-05,0,0,0
2,2025-08-23T10:10:23.184094,147,7.113074e-05,2.3958282e-05,4.7832447e-05,3.9124243e-05,0.00011568119,0.00022235101,4.3298307e-05,2.8054612e-05,4.3309934e-05,7.656657e-05,0,0,0
3,2025-08-23T10:10:23.631229,144,6.949499e-05,2.8239292e-05,5.0842118e-05,4.021498e-05,0.000110993504,0.0001986704,4.1326482e-05,2.832545e-05,4.4851648e-05,8.199111e-05,0,0,0
4,2025-08-23T10:10:24.080143,139,6.7511486e-05,2.5024774e-05,5.1377578e-05,4.0514307e-05,0.000113518385,0.00018979379,4.262379e-05,3.0422127e-05,4.1167023e-05,7.316156e-05,0,0,0
5,2025-08-23T10:10:24.523832,137,6.6406414e-05,2.8171115e-05,5.0487906e-05,4.1101404e-05,0.00010931077,0.0001751616,4.7960562e-05,2.9076326e-05,4.3178425e-05,7.320964e-05,0,0,0
6,2025-08-23T10:10:24.971123,141,6.8243426e-05,2.7185712e-05,4.9257593e-05,4.113121e-05,0.00010768617,0.00020166815,4.6141085e-05,2.9480725e-05,3.9201594e-05,7.2438634e-05,0,0,0
7,2025-08-23T10:10:25.412301,143,6.9041555e-05,2.919149e-05,4.8293514e-05,3.9907976e-05,0.00011490065,0.00018044235,5.6752233e-05,2.9911333e-05,4.120048e-05,8.077396e-05,0,0,0
8,2025-08-23T10:10:25.865039,145,7.033228e-05,2.812071e-05,4.506633e-05,3.8249353e-05,0.00011596942,0.0001904498,5.143679e-05,3.0542764e-05,4.7642607e-05,8.5512715e-05,0,0,0
9,2025-08-23T10:10:26.322537,144,6.957643e-05,3.0101377e-05,4.4671033e-05,3.7790993e-05,0.00012518103,0.00017367855,5.4195432e-05,2.8784201e-05,4.5304605e-05,8.648068e-05,0,0,0
10,2025-08-23T10:10:26.771826,148,7.16471e-05,2.7640921e-05,4.668178e-05,4.0508625e-05,0.00012860689,0.00019470639,5.306123e-05,2.9232184e-05,4.1112344e-05,8.327352e-05,0,0,0
11,2025-08-23T10:10:27.216285,146,7.071747e-05,2.7327209e-05,4.37143e-05,3.592053e-05,0.00012002256,0.00020055615,5.0632305e-05,3.0819105e-05,4.4322667e-05,8.314239e-05,0,0,0
12,2025-08-23T10:10:27.657670,150,7.259249e-05,2.7261101e-05,4.259632e-05,3.558851e-05,0.00013469941,0.00020366043,5.1978983e-05,3.1526433e-05,4.9347276e-05,7.667399e-05,0,0,0
13,2025-08-23T10:10:28.102630,149,7.186867e-05,2.4917046e-05,4.1828454e-05,3.6459674e-05,0.00012843679,0.0002140094,4.9644026e-05,3.0701336e-05,4.070894e-05,8.011239e-05,0,0,0
14,2025-08-23T10:10:28.544050,143,6.926696e-05,2.6630134e-05,3.7004207e-05,3.3911125e-05,0.00011949089,0.00020483081,5.2606654e-05,3.2643013e-05,4.458303e-05,7.17027e-05,0,0,0
15,2025-08-23T10:10:28.987226,149,7.233578e-05,2.7384613e-05,3.8376475e-05,3.685096e-05,0.00013147744,0.00022200978,5.2620722e-05,3.0271634e-05,4.4974084e-05,6.7056295e-05,0,0,0
