frame_number,timestamp,total_crowd_count,overall_density,zone_1_1_density,zone_1_2_density,zone_1_3_density,zone_2_1_density,zone_2_2_density,zone_2_3_density,zone_3_1_density,zone_3_2_density,zone_3_3_density,alerts_count,high_alerts,medium_alerts
1,2025-08-23T10:17:06.135515,331,0.00015992072,1.1302464e-05,2.518962e-06,1.633993e-05,0.0005984787,0.00035147776,0.00018780731,6.6937115e-05,5.72146e-05,0.00014720975,0,0,0
2,2025-08-23T10:17:06.607617,294,0.00014203718,8.417101e-06,2.7161077e-06,1.2480836e-05,0.00054980506,0.00026697348,0.00017717587,6.43201e-05,5.6481138e-05,0.00013996508,0,0,0
3,2025-08-23T10:17:07.063031,285,0.00013788974,8.010312e-06,2.9781388e-06,1.3684038e-05,0.0005308021,0.00023761883,0.00017875654,6.8763264e-05,5.6624827e-05,0.0001437695,0,0,0
4,2025-08-23T10:17:07.529550,279,0.00013458633,9.824369e-06,3.806349e-06,1.1901524e-05,0.000504204,0.00023861794,0.00017354266,6.897238e-05,5.7265053e-05,0.00014314268,0,0,0
5,2025-08-23T10:17:07.998142,303,0.0001462303,8.797063e-06,4.070641e-06,1.5130607e-05,0.0005291346,0.00030240472,0.00018131094,7.238214e-05,5.7756733e-05,0.00014508526,0,0,0
6,2025-08-23T10:17:08.458355,297,0.00014326419,6.500627e-06,5.602896e-06,1.1375575e-05,0.00052653527,0.00028686653,0.00017720977,7.681934e-05,5.634065e-05,0.00014212706,0,0,0
7,2025-08-23T10:17:08.908964,314,0.00015178484,6.9892194e-06,4.934118e-06,1.3463259e-05,0.0005665186,0.00031150758,0.00018397614,7.837096e-05,5.932861e-05,0.00014097524,0,0,0
8,2025-08-23T10:17:09.359586,282,0.0001361508,6.1854203e-06,5.383533e-06,1.0829657e-05,0.00051019934,0.00023811735,0.00018020952,7.974633e-05,5.8581645e-05,0.00013610449,0,0,0
9,2025-08-23T10:17:09.811289,304,0.00014667326,7.397965e-06,4.7064327e-06,1.2129303e-05,0.00054309046,0.0002857272,0.0001834983,8.016669e-05,5.497531e-05,0.00014836766,0,0,0
10,2025-08-23T10:17:10.274266,299,0.0001442992,7.390391e-06,5.52714e-06,1.16575175e-05,0.00052848755,0.00027470235,0.00018298198,8.042497e-05,5.53056e-05,0.00015221546,0,0,0
11,2025-08-23T10:17:10.728110,323,0.00015614109,9.626618e-06,3.7837858e-06,1.3107639e-05,0.00057894574,0.0003067133,0.00019619887,8.281678e-05,5.5942477e-05,0.00015813476,0,0,0
12,2025-08-23T10:17:11.178664,296,0.00014295508,7.903251e-06,4.0323325e-06,1.1540328e-05,0.0005250891,0.0002466647,0.0001809279,8.386596e-05,5.8364567e-05,0.00016820752,0,0,0
13,2025-08-23T10:17:11.630628,303,0.00014614094,9.5073565e-06,4.495775e-06,1.1802034e-05,0.00053304195,0.00027203915,0.00018323542,7.624106e-05,5.580661e-05,0.00016909908,0,0,0
