timestamp,frame,total_people,total_vehicles,total_objects,other_objects,object_breakdown,zone,density,status,alert
2025-08-23T09:43:36.086983,20,11,0,12,1,"11 person, 1 cell phone",Zone 1,0.011,normal,
2025-08-23T09:43:36.086983,20,11,0,12,1,"11 person, 1 cell phone",Zone 2,0.011,normal,
2025-08-23T09:43:36.086983,20,11,0,12,1,"11 person, 1 cell phone",Zone 3,0.011,normal,
2025-08-23T09:43:36.351738,40,9,0,9,0,9 person,Zone 1,0.009,normal,
2025-08-23T09:43:36.351738,40,9,0,9,0,9 person,Zone 2,0.009,normal,
2025-08-23T09:43:36.351738,40,9,0,9,0,9 person,Zone 3,0.009,normal,
2025-08-23T09:43:36.601146,60,12,0,12,0,12 person,Zone 1,0.012,normal,
2025-08-23T09:43:36.601146,60,12,0,12,0,12 person,Zone 2,0.012,normal,
2025-08-23T09:43:36.601146,60,12,0,12,0,12 person,Zone 3,0.012,normal,
2025-08-23T09:43:36.844057,80,8,0,8,0,8 person,Zone 1,0.008,normal,
2025-08-23T09:43:36.844057,80,8,0,8,0,8 person,Zone 2,0.008,normal,
2025-08-23T09:43:36.844057,80,8,0,8,0,8 person,Zone 3,0.008,normal,
2025-08-23T09:43:37.086926,100,9,0,9,0,9 person,Zone 1,0.009,normal,
2025-08-23T09:43:37.086926,100,9,0,9,0,9 person,Zone 2,0.009,normal,
2025-08-23T09:43:37.086926,100,9,0,9,0,9 person,Zone 3,0.009,normal,
2025-08-23T09:43:37.332933,120,11,0,11,0,11 person,Zone 1,0.011,normal,
2025-08-23T09:43:37.332933,120,11,0,11,0,11 person,Zone 2,0.011,normal,
2025-08-23T09:43:37.332933,120,11,0,11,0,11 person,Zone 3,0.011,normal,
2025-08-23T09:43:37.578680,140,9,0,9,0,9 person,Zone 1,0.009,normal,
2025-08-23T09:43:37.578680,140,9,0,9,0,9 person,Zone 2,0.009,normal,
2025-08-23T09:43:37.578680,140,9,0,9,0,9 person,Zone 3,0.009,normal,
2025-08-23T09:43:37.824485,160,11,0,11,0,11 person,Zone 1,0.011,normal,
2025-08-23T09:43:37.824485,160,11,0,11,0,11 person,Zone 2,0.011,normal,
2025-08-23T09:43:37.824485,160,11,0,11,0,11 person,Zone 3,0.011,normal,
