frame_number,timestamp,zone_id,zone_name,density,crowd_count_estimate,status
1,2025-08-23T11:24:57.779057,0,Zone 1-1,6.405564e-05,0,normal
1,2025-08-23T11:24:57.779057,1,Zone 1-2,3.6103163e-05,0,normal
1,2025-08-23T11:24:57.779057,2,Zone 1-3,6.317011e-05,0,normal
1,2025-08-23T11:24:57.779057,3,Zone 2-1,1.6505757e-05,0,normal
1,2025-08-23T11:24:57.779057,4,Zone 2-2,6.1021314e-05,0,normal
1,2025-08-23T11:24:57.779057,5,Zone 2-3,8.596464e-05,0,normal
1,2025-08-23T11:24:57.779057,6,Zone 3-1,3.1707395e-06,0,normal
1,2025-08-23T11:24:57.779057,7,Zone 3-2,1.6923488e-05,0,normal
1,2025-08-23T11:24:57.779057,8,Zone 3-3,3.1879847e-06,0,normal
2,2025-08-23T11:24:57.845022,0,Zone 1-1,8.709985e-05,0,normal
2,2025-08-23T11:24:57.845022,1,Zone 1-2,4.4275464e-05,0,normal
2,2025-08-23T11:24:57.845022,2,Zone 1-3,6.906033e-05,0,normal
2,2025-08-23T11:24:57.845022,3,Zone 2-1,2.2926708e-05,0,normal
2,2025-08-23T11:24:57.845022,4,Zone 2-2,7.818623e-05,0,normal
2,2025-08-23T11:24:57.845022,5,Zone 2-3,8.4599e-05,0,normal
2,2025-08-23T11:24:57.845022,6,Zone 3-1,2.9233606e-06,0,normal
2,2025-08-23T11:24:57.845022,7,Zone 3-2,2.40184e-05,0,normal
2,2025-08-23T11:24:57.845022,8,Zone 3-3,4.0128048e-06,0,normal
3,2025-08-23T11:24:57.964895,0,Zone 1-1,8.5489504e-05,0,normal
3,2025-08-23T11:24:57.964895,1,Zone 1-2,4.693764e-05,0,normal
3,2025-08-23T11:24:57.964895,2,Zone 1-3,7.7764314e-05,0,normal
3,2025-08-23T11:24:57.964895,3,Zone 2-1,2.0895151e-05,0,normal
3,2025-08-23T11:24:57.964895,4,Zone 2-2,6.93152e-05,0,normal
3,2025-08-23T11:24:57.964895,5,Zone 2-3,0.000100117526,1,normal
3,2025-08-23T11:24:57.964895,6,Zone 3-1,1.1866664e-06,0,normal
3,2025-08-23T11:24:57.964895,7,Zone 3-2,2.3981705e-05,0,normal
3,2025-08-23T11:24:57.964895,8,Zone 3-3,4.072225e-06,0,normal
4,2025-08-23T11:24:58.021042,0,Zone 1-1,7.8968806e-05,0,normal
4,2025-08-23T11:24:58.021042,1,Zone 1-2,5.1098647e-05,0,normal
4,2025-08-23T11:24:58.021042,2,Zone 1-3,7.4919604e-05,0,normal
4,2025-08-23T11:24:58.021042,3,Zone 2-1,1.9350939e-05,0,normal
4,2025-08-23T11:24:58.021042,4,Zone 2-2,8.795061e-05,0,normal
4,2025-08-23T11:24:58.021042,5,Zone 2-3,0.00010234148,1,normal
4,2025-08-23T11:24:58.021042,6,Zone 3-1,1.743385e-06,0,normal
4,2025-08-23T11:24:58.021042,7,Zone 3-2,2.5003787e-05,0,normal
4,2025-08-23T11:24:58.021042,8,Zone 3-3,5.9799454e-06,0,normal
5,2025-08-23T11:24:58.076648,0,Zone 1-1,7.167129e-05,0,normal
5,2025-08-23T11:24:58.076648,1,Zone 1-2,5.720065e-05,0,normal
5,2025-08-23T11:24:58.076648,2,Zone 1-3,7.678816e-05,0,normal
5,2025-08-23T11:24:58.076648,3,Zone 2-1,1.2025866e-05,0,normal
5,2025-08-23T11:24:58.076648,4,Zone 2-2,9.962713e-05,1,normal
5,2025-08-23T11:24:58.076648,5,Zone 2-3,0.00013217326,1,normal
5,2025-08-23T11:24:58.076648,6,Zone 3-1,6.2647327e-06,0,normal
5,2025-08-23T11:24:58.076648,7,Zone 3-2,2.2133652e-05,0,normal
5,2025-08-23T11:24:58.076648,8,Zone 3-3,5.1866596e-06,0,normal
6,2025-08-23T11:24:58.129364,0,Zone 1-1,7.5535245e-05,0,normal
6,2025-08-23T11:24:58.129364,1,Zone 1-2,5.1439623e-05,0,normal
6,2025-08-23T11:24:58.129364,2,Zone 1-3,7.832429e-05,0,normal
6,2025-08-23T11:24:58.129364,3,Zone 2-1,1.46228895e-05,0,normal
6,2025-08-23T11:24:58.129364,4,Zone 2-2,9.43585e-05,0,normal
6,2025-08-23T11:24:58.129364,5,Zone 2-3,0.00012417677,1,normal
6,2025-08-23T11:24:58.129364,6,Zone 3-1,7.172139e-06,0,normal
6,2025-08-23T11:24:58.129364,7,Zone 3-2,2.6703621e-05,0,normal
6,2025-08-23T11:24:58.129364,8,Zone 3-3,3.5299051e-06,0,normal
7,2025-08-23T11:24:58.175663,0,Zone 1-1,8.406068e-05,0,normal
7,2025-08-23T11:24:58.175663,1,Zone 1-2,5.7081532e-05,0,normal
7,2025-08-23T11:24:58.175663,2,Zone 1-3,9.66608e-05,0,normal
7,2025-08-23T11:24:58.175663,3,Zone 2-1,1.6744698e-05,0,normal
7,2025-08-23T11:24:58.175663,4,Zone 2-2,9.101371e-05,0,normal
7,2025-08-23T11:24:58.175663,5,Zone 2-3,0.0001043018,1,normal
7,2025-08-23T11:24:58.175663,6,Zone 3-1,1.2704157e-05,0,normal
7,2025-08-23T11:24:58.175663,7,Zone 3-2,2.0070873e-05,0,normal
7,2025-08-23T11:24:58.175663,8,Zone 3-3,5.279018e-06,0,normal
8,2025-08-23T11:24:58.221612,0,Zone 1-1,8.122093e-05,0,normal
8,2025-08-23T11:24:58.221612,1,Zone 1-2,7.153352e-05,0,normal
8,2025-08-23T11:24:58.221612,2,Zone 1-3,8.8700064e-05,0,normal
8,2025-08-23T11:24:58.221612,3,Zone 2-1,1.6880571e-05,0,normal
8,2025-08-23T11:24:58.221612,4,Zone 2-2,8.942716e-05,0,normal
8,2025-08-23T11:24:58.221612,5,Zone 2-3,0.00012915253,1,normal
8,2025-08-23T11:24:58.221612,6,Zone 3-1,5.8196433e-06,0,normal
8,2025-08-23T11:24:58.221612,7,Zone 3-2,2.0356618e-05,0,normal
8,2025-08-23T11:24:58.221612,8,Zone 3-3,1.0311166e-05,0,normal
9,2025-08-23T11:24:58.267812,0,Zone 1-1,8.590315e-05,0,normal
9,2025-08-23T11:24:58.267812,1,Zone 1-2,7.682282e-05,0,normal
9,2025-08-23T11:24:58.267812,2,Zone 1-3,9.050251e-05,0,normal
9,2025-08-23T11:24:58.267812,3,Zone 2-1,2.2353513e-05,0,normal
9,2025-08-23T11:24:58.267812,4,Zone 2-2,9.153373e-05,0,normal
9,2025-08-23T11:24:58.267812,5,Zone 2-3,0.00014000067,1,normal
9,2025-08-23T11:24:58.267812,6,Zone 3-1,1.8739365e-05,0,normal
9,2025-08-23T11:24:58.267812,7,Zone 3-2,2.0590069e-05,0,normal
9,2025-08-23T11:24:58.267812,8,Zone 3-3,1.085908e-05,0,normal
10,2025-08-23T11:24:58.314416,0,Zone 1-1,8.848257e-05,0,normal
10,2025-08-23T11:24:58.314416,1,Zone 1-2,7.76681e-05,0,normal
10,2025-08-23T11:24:58.314416,2,Zone 1-3,9.492903e-05,0,normal
10,2025-08-23T11:24:58.314416,3,Zone 2-1,2.668171e-05,0,normal
10,2025-08-23T11:24:58.314416,4,Zone 2-2,9.801238e-05,1,normal
10,2025-08-23T11:24:58.314416,5,Zone 2-3,0.00014533476,1,normal
10,2025-08-23T11:24:58.314416,6,Zone 3-1,1.5001477e-05,0,normal
10,2025-08-23T11:24:58.314416,7,Zone 3-2,2.3437533e-05,0,normal
10,2025-08-23T11:24:58.314416,8,Zone 3-3,1.1897918e-05,0,normal
11,2025-08-23T11:24:58.427292,0,Zone 1-1,7.880692e-05,0,normal
11,2025-08-23T11:24:58.427292,1,Zone 1-2,6.4937216e-05,0,normal
11,2025-08-23T11:24:58.427292,2,Zone 1-3,8.2435094e-05,0,normal
11,2025-08-23T11:24:58.427292,3,Zone 2-1,2.486878e-05,0,normal
11,2025-08-23T11:24:58.427292,4,Zone 2-2,0.00010783408,1,normal
11,2025-08-23T11:24:58.427292,5,Zone 2-3,0.00014639828,1,normal
11,2025-08-23T11:24:58.427292,6,Zone 3-1,2.2623599e-05,0,normal
11,2025-08-23T11:24:58.427292,7,Zone 3-2,3.069856e-05,0,normal
11,2025-08-23T11:24:58.427292,8,Zone 3-3,1.0051897e-05,0,normal
12,2025-08-23T11:24:58.471693,0,Zone 1-1,8.47436e-05,0,normal
12,2025-08-23T11:24:58.471693,1,Zone 1-2,7.26318e-05,0,normal
12,2025-08-23T11:24:58.471693,2,Zone 1-3,8.645318e-05,0,normal
12,2025-08-23T11:24:58.471693,3,Zone 2-1,2.626987e-05,0,normal
12,2025-08-23T11:24:58.471693,4,Zone 2-2,0.00012828209,1,normal
12,2025-08-23T11:24:58.471693,5,Zone 2-3,0.00015188743,1,normal
12,2025-08-23T11:24:58.471693,6,Zone 3-1,3.243883e-05,0,normal
12,2025-08-23T11:24:58.471693,7,Zone 3-2,2.9602526e-05,0,normal
12,2025-08-23T11:24:58.471693,8,Zone 3-3,1.2602118e-05,0,normal
13,2025-08-23T11:24:58.516644,0,Zone 1-1,8.464372e-05,0,normal
13,2025-08-23T11:24:58.516644,1,Zone 1-2,7.338884e-05,0,normal
13,2025-08-23T11:24:58.516644,2,Zone 1-3,8.51063e-05,0,normal
13,2025-08-23T11:24:58.516644,3,Zone 2-1,2.8872968e-05,0,normal
13,2025-08-23T11:24:58.516644,4,Zone 2-2,0.00012398647,1,normal
13,2025-08-23T11:24:58.516644,5,Zone 2-3,0.00014291662,1,normal
13,2025-08-23T11:24:58.516644,6,Zone 3-1,2.9177798e-05,0,normal
13,2025-08-23T11:24:58.516644,7,Zone 3-2,2.9889436e-05,0,normal
13,2025-08-23T11:24:58.516644,8,Zone 3-3,1.272689e-05,0,normal
14,2025-08-23T11:24:58.560737,0,Zone 1-1,8.518985e-05,0,normal
14,2025-08-23T11:24:58.560737,1,Zone 1-2,7.534786e-05,0,normal
14,2025-08-23T11:24:58.560737,2,Zone 1-3,8.301395e-05,0,normal
14,2025-08-23T11:24:58.560737,3,Zone 2-1,2.449118e-05,0,normal
14,2025-08-23T11:24:58.560737,4,Zone 2-2,0.00012424246,1,normal
14,2025-08-23T11:24:58.560737,5,Zone 2-3,0.0001495591,1,normal
14,2025-08-23T11:24:58.560737,6,Zone 3-1,4.370054e-05,0,normal
14,2025-08-23T11:24:58.560737,7,Zone 3-2,3.2706568e-05,0,normal
14,2025-08-23T11:24:58.560737,8,Zone 3-3,1.3293806e-05,0,normal
15,2025-08-23T11:24:58.604740,0,Zone 1-1,8.911957e-05,0,normal
15,2025-08-23T11:24:58.604740,1,Zone 1-2,7.294494e-05,0,normal
15,2025-08-23T11:24:58.604740,2,Zone 1-3,8.298745e-05,0,normal
15,2025-08-23T11:24:58.604740,3,Zone 2-1,2.6461734e-05,0,normal
15,2025-08-23T11:24:58.604740,4,Zone 2-2,0.00011742243,1,normal
15,2025-08-23T11:24:58.604740,5,Zone 2-3,0.00012757316,1,normal
15,2025-08-23T11:24:58.604740,6,Zone 3-1,5.7039935e-05,0,normal
15,2025-08-23T11:24:58.604740,7,Zone 3-2,3.4127494e-05,0,normal
15,2025-08-23T11:24:58.604740,8,Zone 3-3,1.6223674e-05,0,normal
16,2025-08-23T11:24:58.648389,0,Zone 1-1,8.561712e-05,0,normal
16,2025-08-23T11:24:58.648389,1,Zone 1-2,7.662006e-05,0,normal
16,2025-08-23T11:24:58.648389,2,Zone 1-3,9.8052486e-05,1,normal
16,2025-08-23T11:24:58.648389,3,Zone 2-1,2.62301e-05,0,normal
16,2025-08-23T11:24:58.648389,4,Zone 2-2,0.000120465775,1,normal
16,2025-08-23T11:24:58.648389,5,Zone 2-3,0.0001451282,1,normal
16,2025-08-23T11:24:58.648389,6,Zone 3-1,5.244432e-05,0,normal
16,2025-08-23T11:24:58.648389,7,Zone 3-2,4.039982e-05,0,normal
16,2025-08-23T11:24:58.648389,8,Zone 3-3,1.8908488e-05,0,normal
17,2025-08-23T11:24:58.693266,0,Zone 1-1,8.94195e-05,0,normal
17,2025-08-23T11:24:58.693266,1,Zone 1-2,7.461642e-05,0,normal
17,2025-08-23T11:24:58.693266,2,Zone 1-3,9.871396e-05,1,normal
17,2025-08-23T11:24:58.693266,3,Zone 2-1,3.2576383e-05,0,normal
17,2025-08-23T11:24:58.693266,4,Zone 2-2,0.00010466307,1,normal
17,2025-08-23T11:24:58.693266,5,Zone 2-3,0.00014531167,1,normal
17,2025-08-23T11:24:58.693266,6,Zone 3-1,6.3125255e-05,0,normal
17,2025-08-23T11:24:58.693266,7,Zone 3-2,3.1193347e-05,0,normal
17,2025-08-23T11:24:58.693266,8,Zone 3-3,1.9419042e-05,0,normal
18,2025-08-23T11:24:58.737964,0,Zone 1-1,8.718311e-05,0,normal
18,2025-08-23T11:24:58.737964,1,Zone 1-2,7.9717945e-05,0,normal
18,2025-08-23T11:24:58.737964,2,Zone 1-3,0.000102417194,1,normal
18,2025-08-23T11:24:58.737964,3,Zone 2-1,2.7343163e-05,0,normal
18,2025-08-23T11:24:58.737964,4,Zone 2-2,0.000113807495,1,normal
18,2025-08-23T11:24:58.737964,5,Zone 2-3,0.00015402342,1,normal
18,2025-08-23T11:24:58.737964,6,Zone 3-1,6.396399e-05,0,normal
18,2025-08-23T11:24:58.737964,7,Zone 3-2,2.7778848e-05,0,normal
18,2025-08-23T11:24:58.737964,8,Zone 3-3,1.525974e-05,0,normal
19,2025-08-23T11:24:58.782346,0,Zone 1-1,9.36495e-05,0,normal
19,2025-08-23T11:24:58.782346,1,Zone 1-2,8.505253e-05,0,normal
19,2025-08-23T11:24:58.782346,2,Zone 1-3,0.00010765964,1,normal
19,2025-08-23T11:24:58.782346,3,Zone 2-1,2.340098e-05,0,normal
19,2025-08-23T11:24:58.782346,4,Zone 2-2,0.00012171278,1,normal
19,2025-08-23T11:24:58.782346,5,Zone 2-3,0.00014661337,1,normal
19,2025-08-23T11:24:58.782346,6,Zone 3-1,4.814597e-05,0,normal
19,2025-08-23T11:24:58.782346,7,Zone 3-2,2.4337744e-05,0,normal
19,2025-08-23T11:24:58.782346,8,Zone 3-3,1.0910116e-05,0,normal
20,2025-08-23T11:24:58.826374,0,Zone 1-1,7.492907e-05,0,normal
20,2025-08-23T11:24:58.826374,1,Zone 1-2,7.252618e-05,0,normal
20,2025-08-23T11:24:58.826374,2,Zone 1-3,0.00010757996,1,normal
20,2025-08-23T11:24:58.826374,3,Zone 2-1,2.2786076e-05,0,normal
20,2025-08-23T11:24:58.826374,4,Zone 2-2,0.00010946319,1,normal
20,2025-08-23T11:24:58.826374,5,Zone 2-3,0.0001135871,1,normal
20,2025-08-23T11:24:58.826374,6,Zone 3-1,6.840609e-05,0,normal
20,2025-08-23T11:24:58.826374,7,Zone 3-2,2.9505369e-05,0,normal
20,2025-08-23T11:24:58.826374,8,Zone 3-3,9.184062e-06,0,normal
21,2025-08-23T11:24:58.869728,0,Zone 1-1,7.756398e-05,0,normal
