frame_number,timestamp,zone_id,zone_name,density,crowd_count_estimate,status
1,2025-08-23T08:10:59.727016,0,Zone 1-1,9.000591235235334e-06,0,normal
1,2025-08-23T08:10:59.727016,1,Zone 1-2,-6.45706313662231e-06,0,normal
1,2025-08-23T08:10:59.727016,2,Zone 1-3,6.733131158398464e-07,0,normal
1,2025-08-23T08:10:59.727016,3,Zone 2-1,0.0002784138917922974,28,normal
1,2025-08-23T08:10:59.727016,4,Zone 2-2,0.0010044968128204346,102,normal
1,2025-08-23T08:10:59.727016,5,Zone 2-3,0.00032240815460681915,32,normal
1,2025-08-23T08:10:59.727016,6,Zone 3-1,4.776011221110821e-05,4,normal
1,2025-08-23T08:10:59.727016,7,Zone 3-2,6.656979210674763e-05,6,normal
1,2025-08-23T08:10:59.727016,8,Zone 3-3,0.00010437117889523506,10,normal
2,2025-08-23T08:11:02.143957,0,Zone 1-1,9.153239079751075e-06,0,normal
2,2025-08-23T08:11:02.143957,1,Zone 1-2,-6.062134634703397e-06,0,normal
2,2025-08-23T08:11:02.143957,2,Zone 1-3,7.327594357775524e-07,0,normal
2,2025-08-23T08:11:02.143957,3,Zone 2-1,0.00029261620715260507,29,normal
2,2025-08-23T08:11:02.143957,4,Zone 2-2,0.0010775407403707505,109,normal
2,2025-08-23T08:11:02.143957,5,Zone 2-3,0.0003211641684174538,32,normal
2,2025-08-23T08:11:02.143957,6,Zone 3-1,4.9986550584435464e-05,5,normal
2,2025-08-23T08:11:02.143957,7,Zone 3-2,6.589962169528007e-05,6,normal
2,2025-08-23T08:11:02.143957,8,Zone 3-3,8.174458518624306e-05,8,normal
3,2025-08-23T08:11:04.560274,0,Zone 1-1,7.4170052539557214e-06,0,normal
3,2025-08-23T08:11:04.560274,1,Zone 1-2,-4.435164737515152e-06,0,normal
3,2025-08-23T08:11:04.560274,2,Zone 1-3,-4.549448931356892e-07,0,normal
3,2025-08-23T08:11:04.560274,3,Zone 2-1,0.00026995016261935237,27,normal
3,2025-08-23T08:11:04.560274,4,Zone 2-2,0.001024101823568344,104,normal
3,2025-08-23T08:11:04.560274,5,Zone 2-3,0.0003157976269721985,32,normal
3,2025-08-23T08:11:04.560274,6,Zone 3-1,4.684942308813333e-05,4,normal
3,2025-08-23T08:11:04.560274,7,Zone 3-2,6.395051255822181e-05,6,normal
3,2025-08-23T08:11:04.560274,8,Zone 3-3,8.8912108913064e-05,9,normal
4,2025-08-23T08:11:06.974073,0,Zone 1-1,7.719765417277813e-06,0,normal
4,2025-08-23T08:11:06.974073,1,Zone 1-2,-3.2158009707927704e-06,0,normal
4,2025-08-23T08:11:06.974073,2,Zone 1-3,8.291786798508838e-08,0,normal
4,2025-08-23T08:11:06.974073,3,Zone 2-1,0.0002535911835730076,25,normal
4,2025-08-23T08:11:06.974073,4,Zone 2-2,0.0010810934752225876,110,normal
4,2025-08-23T08:11:06.974073,5,Zone 2-3,0.00035100288689136503,35,normal
4,2025-08-23T08:11:06.974073,6,Zone 3-1,4.612251184880733e-05,4,normal
4,2025-08-23T08:11:06.974073,7,Zone 3-2,6.584009155631065e-05,6,normal
4,2025-08-23T08:11:06.974073,8,Zone 3-3,9.658213704824448e-05,9,normal
5,2025-08-23T08:11:09.407059,0,Zone 1-1,9.073580149561168e-06,0,normal
5,2025-08-23T08:11:09.407059,1,Zone 1-2,-2.9785075457766654e-06,0,normal
5,2025-08-23T08:11:09.407059,2,Zone 1-3,1.1024751438526437e-06,0,normal
5,2025-08-23T08:11:09.407059,3,Zone 2-1,0.0002670455351471901,27,normal
5,2025-08-23T08:11:09.407059,4,Zone 2-2,0.0011503000557422638,117,normal
5,2025-08-23T08:11:09.407059,5,Zone 2-3,0.00033650841563940046,34,normal
5,2025-08-23T08:11:09.407059,6,Zone 3-1,4.274362698197365e-05,4,normal
5,2025-08-23T08:11:09.407059,7,Zone 3-2,6.0992245562374595e-05,6,normal
5,2025-08-23T08:11:09.407059,8,Zone 3-3,0.00010503855533897876,10,normal
6,2025-08-23T08:11:11.819292,0,Zone 1-1,6.925990455783904e-06,0,normal
6,2025-08-23T08:11:11.819292,1,Zone 1-2,-3.3867271849885582e-06,0,normal
