frame_number,timestamp,zone_id,zone_name,density,crowd_count_estimate,status
1,2025-08-23T11:30:42.770573,0,Zone 1-1,5.7907568e-05,6,normal
1,2025-08-23T11:30:42.770573,1,Zone 1-2,7.3361196e-05,8,normal
1,2025-08-23T11:30:42.770573,2,Zone 1-3,5.5267603e-05,6,normal
1,2025-08-23T11:30:42.770573,3,Zone 2-1,0.00029759877,33,normal
1,2025-08-23T11:30:42.770573,4,Zone 2-2,0.0003462548,39,normal
1,2025-08-23T11:30:42.770573,5,Zone 2-3,0.00025799594,29,normal
1,2025-08-23T11:30:42.770573,6,Zone 3-1,0.00013707836,15,normal
1,2025-08-23T11:30:42.770573,7,Zone 3-2,0.0003068301,34,normal
1,2025-08-23T11:30:42.770573,8,Zone 3-3,0.0002859187,32,normal
2,2025-08-23T11:30:43.057312,0,Zone 1-1,5.716136e-05,6,normal
2,2025-08-23T11:30:43.057312,1,Zone 1-2,7.197552e-05,8,normal
2,2025-08-23T11:30:43.057312,2,Zone 1-3,5.500002e-05,6,normal
2,2025-08-23T11:30:43.057312,3,Zone 2-1,0.00029374036,33,normal
2,2025-08-23T11:30:43.057312,4,Zone 2-2,0.00034263617,38,normal
2,2025-08-23T11:30:43.057312,5,Zone 2-3,0.00025737978,29,normal
2,2025-08-23T11:30:43.057312,6,Zone 3-1,0.00013611982,15,normal
2,2025-08-23T11:30:43.057312,7,Zone 3-2,0.00030352778,34,normal
2,2025-08-23T11:30:43.057312,8,Zone 3-3,0.00028393586,32,normal
3,2025-08-23T11:30:43.346976,0,Zone 1-1,5.7964564e-05,6,normal
3,2025-08-23T11:30:43.346976,1,Zone 1-2,7.237812e-05,8,normal
3,2025-08-23T11:30:43.346976,2,Zone 1-3,5.4639186e-05,6,normal
3,2025-08-23T11:30:43.346976,3,Zone 2-1,0.00029213887,33,normal
3,2025-08-23T11:30:43.346976,4,Zone 2-2,0.0003379674,38,normal
3,2025-08-23T11:30:43.346976,5,Zone 2-3,0.00025502278,28,normal
