frame_number,timestamp,zone_id,zone_name,density,crowd_count_estimate,status
1,2025-08-23T10:10:22.728817,0,Zone 1-1,2.5447709e-05,5,normal
1,2025-08-23T10:10:22.728817,1,Zone 1-2,4.5498444e-05,10,normal
1,2025-08-23T10:10:22.728817,2,Zone 1-3,3.3718436e-05,7,normal
1,2025-08-23T10:10:22.728817,3,Zone 2-1,0.000107474676,24,normal
1,2025-08-23T10:10:22.728817,4,Zone 2-2,0.00018124405,41,normal
1,2025-08-23T10:10:22.728817,5,Zone 2-3,4.025701e-05,9,normal
1,2025-08-23T10:10:22.728817,6,Zone 3-1,2.7410511e-05,6,normal
1,2025-08-23T10:10:22.728817,7,Zone 3-2,4.0536605e-05,9,normal
1,2025-08-23T10:10:22.728817,8,Zone 3-3,7.823737e-05,17,normal
2,2025-08-23T10:10:23.184593,0,Zone 1-1,2.3958282e-05,5,normal
2,2025-08-23T10:10:23.184593,1,Zone 1-2,4.7832447e-05,10,normal
2,2025-08-23T10:10:23.184593,2,Zone 1-3,3.9124243e-05,8,normal
2,2025-08-23T10:10:23.184593,3,Zone 2-1,0.00011568119,26,normal
2,2025-08-23T10:10:23.184593,4,Zone 2-2,0.00022235101,51,normal
2,2025-08-23T10:10:23.184593,5,Zone 2-3,4.3298307e-05,9,normal
2,2025-08-23T10:10:23.184593,6,Zone 3-1,2.8054612e-05,6,normal
2,2025-08-23T10:10:23.184593,7,Zone 3-2,4.3309934e-05,9,normal
2,2025-08-23T10:10:23.184593,8,Zone 3-3,7.656657e-05,17,normal
3,2025-08-23T10:10:23.632730,0,Zone 1-1,2.8239292e-05,6,normal
3,2025-08-23T10:10:23.632730,1,Zone 1-2,5.0842118e-05,11,normal
3,2025-08-23T10:10:23.632730,2,Zone 1-3,4.021498e-05,9,normal
3,2025-08-23T10:10:23.632730,3,Zone 2-1,0.000110993504,25,normal
3,2025-08-23T10:10:23.632730,4,Zone 2-2,0.0001986704,45,normal
3,2025-08-23T10:10:23.632730,5,Zone 2-3,4.1326482e-05,9,normal
3,2025-08-23T10:10:23.632730,6,Zone 3-1,2.832545e-05,6,normal
3,2025-08-23T10:10:23.632730,7,Zone 3-2,4.4851648e-05,10,normal
3,2025-08-23T10:10:23.632730,8,Zone 3-3,8.199111e-05,18,normal
4,2025-08-23T10:10:24.080587,0,Zone 1-1,2.5024774e-05,5,normal
4,2025-08-23T10:10:24.080587,1,Zone 1-2,5.1377578e-05,11,normal
4,2025-08-23T10:10:24.080587,2,Zone 1-3,4.0514307e-05,9,normal
4,2025-08-23T10:10:24.080587,3,Zone 2-1,0.000113518385,25,normal
4,2025-08-23T10:10:24.080587,4,Zone 2-2,0.00018979379,43,normal
4,2025-08-23T10:10:24.080587,5,Zone 2-3,4.262379e-05,9,normal
4,2025-08-23T10:10:24.080587,6,Zone 3-1,3.0422127e-05,6,normal
4,2025-08-23T10:10:24.080587,7,Zone 3-2,4.1167023e-05,9,normal
4,2025-08-23T10:10:24.080587,8,Zone 3-3,7.316156e-05,16,normal
5,2025-08-23T10:10:24.524255,0,Zone 1-1,2.8171115e-05,6,normal
5,2025-08-23T10:10:24.524255,1,Zone 1-2,5.0487906e-05,11,normal
5,2025-08-23T10:10:24.524255,2,Zone 1-3,4.1101404e-05,9,normal
5,2025-08-23T10:10:24.524255,3,Zone 2-1,0.00010931077,25,normal
5,2025-08-23T10:10:24.524255,4,Zone 2-2,0.0001751616,40,normal
5,2025-08-23T10:10:24.524255,5,Zone 2-3,4.7960562e-05,10,normal
5,2025-08-23T10:10:24.524255,6,Zone 3-1,2.9076326e-05,6,normal
5,2025-08-23T10:10:24.524255,7,Zone 3-2,4.3178425e-05,9,normal
5,2025-08-23T10:10:24.524255,8,Zone 3-3,7.320964e-05,16,normal
6,2025-08-23T10:10:24.971599,0,Zone 1-1,2.7185712e-05,6,normal
6,2025-08-23T10:10:24.971599,1,Zone 1-2,4.9257593e-05,11,normal
6,2025-08-23T10:10:24.971599,2,Zone 1-3,4.113121e-05,9,normal
6,2025-08-23T10:10:24.971599,3,Zone 2-1,0.00010768617,24,normal
6,2025-08-23T10:10:24.971599,4,Zone 2-2,0.00020166815,46,normal
6,2025-08-23T10:10:24.971599,5,Zone 2-3,4.6141085e-05,10,normal
6,2025-08-23T10:10:24.971599,6,Zone 3-1,2.9480725e-05,6,normal
6,2025-08-23T10:10:24.971599,7,Zone 3-2,3.9201594e-05,8,normal
6,2025-08-23T10:10:24.971599,8,Zone 3-3,7.2438634e-05,16,normal
7,2025-08-23T10:10:25.412792,0,Zone 1-1,2.919149e-05,6,normal
7,2025-08-23T10:10:25.412792,1,Zone 1-2,4.8293514e-05,11,normal
7,2025-08-23T10:10:25.412792,2,Zone 1-3,3.9907976e-05,9,normal
7,2025-08-23T10:10:25.412792,3,Zone 2-1,0.00011490065,26,normal
7,2025-08-23T10:10:25.412792,4,Zone 2-2,0.00018044235,41,normal
7,2025-08-23T10:10:25.412792,5,Zone 2-3,5.6752233e-05,13,normal
7,2025-08-23T10:10:25.412792,6,Zone 3-1,2.9911333e-05,6,normal
7,2025-08-23T10:10:25.412792,7,Zone 3-2,4.120048e-05,9,normal
7,2025-08-23T10:10:25.412792,8,Zone 3-3,8.077396e-05,18,normal
8,2025-08-23T10:10:25.865518,0,Zone 1-1,2.812071e-05,6,normal
8,2025-08-23T10:10:25.865518,1,Zone 1-2,4.506633e-05,10,normal
8,2025-08-23T10:10:25.865518,2,Zone 1-3,3.8249353e-05,8,normal
