frame_number,timestamp,zone_id,zone_name,density,crowd_count_estimate,status
1,2025-08-23T08:01:19.607845,0,Zone 1-1,0.00010161714421378242,23,normal
1,2025-08-23T08:01:19.607845,1,Zone 1-2,0.00026477972666422525,60,normal
1,2025-08-23T08:01:19.607845,2,Zone 1-3,0.00022095008028878105,50,normal
1,2025-08-23T08:01:19.607845,3,Zone 2-1,6.250380641884273e-05,14,normal
1,2025-08-23T08:01:19.607845,4,Zone 2-2,0.0001571807927555508,36,normal
1,2025-08-23T08:01:19.607845,5,Zone 2-3,0.0002077556484275394,47,normal
1,2025-08-23T08:01:19.607845,6,Zone 3-1,8.402324385113186e-05,19,normal
1,2025-08-23T08:01:19.607845,7,Zone 3-2,0.00022387681735886467,51,normal
1,2025-08-23T08:01:19.607845,8,Zone 3-3,0.00018153505192862617,41,normal
2,2025-08-23T08:01:25.267060,0,Zone 1-1,0.00011578573120964899,26,normal
2,2025-08-23T08:01:25.267060,1,Zone 1-2,0.00026963950859175786,61,normal
2,2025-08-23T08:01:25.267060,2,Zone 1-3,0.00021200223101509942,48,normal
2,2025-08-23T08:01:25.267060,3,Zone 2-1,6.598205202155643e-05,15,normal
2,2025-08-23T08:01:25.267060,4,Zone 2-2,0.00016001833809746636,36,normal
2,2025-08-23T08:01:25.267060,5,Zone 2-3,0.0002069191469086541,47,normal
2,2025-08-23T08:01:25.267060,6,Zone 3-1,7.868646747536129e-05,18,normal
2,2025-08-23T08:01:25.267060,7,Zone 3-2,0.0002069200078646342,47,normal
2,2025-08-23T08:01:25.267060,8,Zone 3-3,0.00017219233844015334,39,normal
3,2025-08-23T08:01:30.860521,0,Zone 1-1,0.0001127851340505812,25,normal
3,2025-08-23T08:01:30.860521,1,Zone 1-2,0.00026186486085255943,60,normal
3,2025-08-23T08:01:30.860521,2,Zone 1-3,0.00022689903775850932,52,normal
3,2025-08-23T08:01:30.860521,3,Zone 2-1,6.860683775610394e-05,15,normal
3,2025-08-23T08:01:30.860521,4,Zone 2-2,0.00015780187315411038,36,normal
3,2025-08-23T08:01:30.860521,5,Zone 2-3,0.0001944649385081397,44,normal
3,2025-08-23T08:01:30.860521,6,Zone 3-1,9.026072091526456e-05,20,normal
3,2025-08-23T08:01:30.860521,7,Zone 3-2,0.00022761964135699803,52,normal
3,2025-08-23T08:01:30.860521,8,Zone 3-3,0.0001658461822403802,38,normal
4,2025-08-23T08:01:36.419748,0,Zone 1-1,9.430525203545888e-05,21,normal
4,2025-08-23T08:01:36.419748,1,Zone 1-2,0.0002619342009226481,60,normal
4,2025-08-23T08:01:36.419748,2,Zone 1-3,0.00018248632550239564,41,normal
4,2025-08-23T08:01:36.419748,3,Zone 2-1,6.359616915384929e-05,14,normal
4,2025-08-23T08:01:36.419748,4,Zone 2-2,0.00016523035036193,37,normal
4,2025-08-23T08:01:36.419748,5,Zone 2-3,0.00019040134218004014,43,normal
4,2025-08-23T08:01:36.419748,6,Zone 3-1,8.846994903352525e-05,20,normal
4,2025-08-23T08:01:36.419748,7,Zone 3-2,0.00021041654878192477,48,normal
4,2025-08-23T08:01:36.419748,8,Zone 3-3,0.00014363345172670153,33,normal
5,2025-08-23T08:01:42.011805,0,Zone 1-1,0.00010126121342182159,23,normal
5,2025-08-23T08:01:42.011805,1,Zone 1-2,0.0002396113673845927,55,normal
5,2025-08-23T08:01:42.011805,2,Zone 1-3,0.00021535966131422255,49,normal
5,2025-08-23T08:01:42.011805,3,Zone 2-1,6.31595030426979e-05,14,normal
5,2025-08-23T08:01:42.011805,4,Zone 2-2,0.00014802798628807068,34,normal
5,2025-08-23T08:01:42.011805,5,Zone 2-3,0.00020234290096494885,46,normal
5,2025-08-23T08:01:42.011805,6,Zone 3-1,8.017629384994507e-05,18,normal
5,2025-08-23T08:01:42.011805,7,Zone 3-2,0.00022828694846895007,52,normal
5,2025-08-23T08:01:42.011805,8,Zone 3-3,0.0001613098382949829,37,normal
6,2025-08-23T08:01:47.566787,0,Zone 1-1,8.766644530826145e-05,20,normal
6,2025-08-23T08:01:47.566787,1,Zone 1-2,0.00024383381009101867,56,normal
6,2025-08-23T08:01:47.566787,2,Zone 1-3,0.00021662218703163996,49,normal
6,2025-08-23T08:01:47.566787,3,Zone 2-1,6.373605794376798e-05,14,normal
6,2025-08-23T08:01:47.566787,4,Zone 2-2,0.00017358591159184774,39,normal
6,2025-08-23T08:01:47.566787,5,Zone 2-3,0.00018989240129788716,43,normal
6,2025-08-23T08:01:47.566787,6,Zone 3-1,8.149705827236176e-05,18,normal
6,2025-08-23T08:01:47.566787,7,Zone 3-2,0.00021777298715379504,50,normal
6,2025-08-23T08:01:47.566787,8,Zone 3-3,0.0001429702341556549,32,normal
7,2025-08-23T08:01:53.145933,0,Zone 1-1,8.30679304069943e-05,19,normal
7,2025-08-23T08:01:53.145933,1,Zone 1-2,0.00022953261931737265,52,normal
7,2025-08-23T08:01:53.145933,2,Zone 1-3,0.0002351189156373342,54,normal
7,2025-08-23T08:01:53.145933,3,Zone 2-1,6.392210721969604e-05,14,normal
7,2025-08-23T08:01:53.145933,4,Zone 2-2,0.0001619108517964681,37,normal
7,2025-08-23T08:01:53.145933,5,Zone 2-3,0.0001948885785208808,44,normal
7,2025-08-23T08:01:53.145933,6,Zone 3-1,8.841866420374976e-05,20,normal
7,2025-08-23T08:01:53.145933,7,Zone 3-2,0.00020849999454286363,47,normal
7,2025-08-23T08:01:53.145933,8,Zone 3-3,0.00014787137508392333,34,normal
8,2025-08-23T08:01:58.741318,0,Zone 1-1,9.23842191696167e-05,21,normal
8,2025-08-23T08:01:58.741318,1,Zone 1-2,0.000242855879995558,55,normal
8,2025-08-23T08:01:58.741318,2,Zone 1-3,0.00020331922504636976,46,normal
8,2025-08-23T08:01:58.741318,3,Zone 2-1,6.58519027961625e-05,15,normal
8,2025-08-23T08:01:58.741318,4,Zone 2-2,0.00015911923514472112,36,normal
8,2025-08-23T08:01:58.741318,5,Zone 2-3,0.00019269062413109674,44,normal
8,2025-08-23T08:01:58.741318,6,Zone 3-1,8.815556764602662e-05,20,normal
8,2025-08-23T08:01:58.741318,7,Zone 3-2,0.0002198476923836602,50,normal
8,2025-08-23T08:01:58.741318,8,Zone 3-3,0.00014685841070281134,33,normal
9,2025-08-23T08:02:04.314602,0,Zone 1-1,8.173070847988128e-05,18,normal
9,2025-08-23T08:02:04.314602,1,Zone 1-2,0.0002390420436859131,54,normal
9,2025-08-23T08:02:04.314602,2,Zone 1-3,0.00019784895910157098,45,normal
9,2025-08-23T08:02:04.314602,3,Zone 2-1,6.383194277683894e-05,14,normal
9,2025-08-23T08:02:04.314602,4,Zone 2-2,0.00013913316859139337,32,normal
9,2025-08-23T08:02:04.314602,5,Zone 2-3,0.00017796688609653048,40,normal
9,2025-08-23T08:02:04.314602,6,Zone 3-1,7.989678117964003e-05,18,normal
9,2025-08-23T08:02:04.314602,7,Zone 3-2,0.00022927024298244052,52,normal
9,2025-08-23T08:02:04.314602,8,Zone 3-3,0.0001519157654709286,34,normal
10,2025-08-23T08:02:09.974578,0,Zone 1-1,9.150104390250312e-05,21,normal
10,2025-08-23T08:02:09.974578,1,Zone 1-2,0.00022829025983810424,52,normal
10,2025-08-23T08:02:09.974578,2,Zone 1-3,0.00022706344723701476,52,normal
10,2025-08-23T08:02:09.974578,3,Zone 2-1,6.206201182471382e-05,14,normal
10,2025-08-23T08:02:09.974578,4,Zone 2-2,0.00015619676974084641,35,normal
10,2025-08-23T08:02:09.974578,5,Zone 2-3,0.00019085889061292013,43,normal
10,2025-08-23T08:02:09.974578,6,Zone 3-1,8.542738027042812e-05,19,normal
10,2025-08-23T08:02:09.974578,7,Zone 3-2,0.00022406286663479276,51,normal
10,2025-08-23T08:02:09.974578,8,Zone 3-3,0.00014714346991644966,33,normal
11,2025-08-23T08:02:15.520915,0,Zone 1-1,8.852440449926588e-05,20,normal
11,2025-08-23T08:02:15.520915,1,Zone 1-2,0.00025083354777759976,57,normal
11,2025-08-23T08:02:15.520915,2,Zone 1-3,0.00023453733987278407,53,normal
11,2025-08-23T08:02:15.520915,3,Zone 2-1,6.312980420059628e-05,14,normal
11,2025-08-23T08:02:15.520915,4,Zone 2-2,0.00016018455227216085,36,normal
11,2025-08-23T08:02:15.520915,5,Zone 2-3,0.00019905908240212334,45,normal
11,2025-08-23T08:02:15.520915,6,Zone 3-1,9.107722176445854e-05,20,normal
11,2025-08-23T08:02:15.520915,7,Zone 3-2,0.00023869408501519097,54,normal
11,2025-08-23T08:02:15.520915,8,Zone 3-3,0.00014905886517630683,34,normal
12,2025-08-23T08:02:21.109156,0,Zone 1-1,9.322005841467115e-05,21,normal
12,2025-08-23T08:02:21.109156,1,Zone 1-2,0.0002459570931063758,56,normal
12,2025-08-23T08:02:21.109156,2,Zone 1-3,0.00021730403105417887,50,normal
12,2025-08-23T08:02:21.109156,3,Zone 2-1,5.9189572930336e-05,13,normal
