frame_number,timestamp,zone_id,zone_name,density,crowd_count_estimate,status
1,2025-08-23T10:17:06.136264,0,Zone 1-1,1.1302464e-05,2,normal
1,2025-08-23T10:17:06.136264,1,Zone 1-2,2.518962e-06,0,normal
1,2025-08-23T10:17:06.136264,2,Zone 1-3,1.633993e-05,3,normal
1,2025-08-23T10:17:06.136264,3,Zone 2-1,0.0005984787,137,normal
1,2025-08-23T10:17:06.136264,4,Zone 2-2,0.00035147776,80,normal
1,2025-08-23T10:17:06.136264,5,Zone 2-3,0.00018780731,43,normal
1,2025-08-23T10:17:06.136264,6,Zone 3-1,6.6937115e-05,15,normal
1,2025-08-23T10:17:06.136264,7,Zone 3-2,5.72146e-05,13,normal
1,2025-08-23T10:17:06.136264,8,Zone 3-3,0.00014720975,33,normal
2,2025-08-23T10:17:06.608185,0,Zone 1-1,8.417101e-06,1,normal
2,2025-08-23T10:17:06.608185,1,Zone 1-2,2.7161077e-06,0,normal
2,2025-08-23T10:17:06.608185,2,Zone 1-3,1.2480836e-05,2,normal
2,2025-08-23T10:17:06.608185,3,Zone 2-1,0.00054980506,126,normal
2,2025-08-23T10:17:06.608185,4,Zone 2-2,0.00026697348,61,normal
2,2025-08-23T10:17:06.608185,5,Zone 2-3,0.00017717587,40,normal
2,2025-08-23T10:17:06.608185,6,Zone 3-1,6.43201e-05,14,normal
2,2025-08-23T10:17:06.608185,7,Zone 3-2,5.6481138e-05,12,normal
2,2025-08-23T10:17:06.608185,8,Zone 3-3,0.00013996508,32,normal
3,2025-08-23T10:17:07.063842,0,Zone 1-1,8.010312e-06,1,normal
3,2025-08-23T10:17:07.063842,1,Zone 1-2,2.9781388e-06,0,normal
3,2025-08-23T10:17:07.063842,2,Zone 1-3,1.3684038e-05,3,normal
3,2025-08-23T10:17:07.063842,3,Zone 2-1,0.0005308021,121,normal
3,2025-08-23T10:17:07.063842,4,Zone 2-2,0.00023761883,54,normal
3,2025-08-23T10:17:07.063842,5,Zone 2-3,0.00017875654,41,normal
3,2025-08-23T10:17:07.063842,6,Zone 3-1,6.8763264e-05,15,normal
3,2025-08-23T10:17:07.063842,7,Zone 3-2,5.6624827e-05,13,normal
3,2025-08-23T10:17:07.063842,8,Zone 3-3,0.0001437695,33,normal
4,2025-08-23T10:17:07.530095,0,Zone 1-1,9.824369e-06,2,normal
4,2025-08-23T10:17:07.530095,1,Zone 1-2,3.806349e-06,0,normal
4,2025-08-23T10:17:07.530095,2,Zone 1-3,1.1901524e-05,2,normal
4,2025-08-23T10:17:07.530095,3,Zone 2-1,0.000504204,116,normal
4,2025-08-23T10:17:07.530095,4,Zone 2-2,0.00023861794,54,normal
4,2025-08-23T10:17:07.530095,5,Zone 2-3,0.00017354266,39,normal
4,2025-08-23T10:17:07.530095,6,Zone 3-1,6.897238e-05,15,normal
4,2025-08-23T10:17:07.530095,7,Zone 3-2,5.7265053e-05,13,normal
4,2025-08-23T10:17:07.530095,8,Zone 3-3,0.00014314268,32,normal
5,2025-08-23T10:17:07.998620,0,Zone 1-1,8.797063e-06,2,normal
5,2025-08-23T10:17:07.998620,1,Zone 1-2,4.070641e-06,0,normal
5,2025-08-23T10:17:07.998620,2,Zone 1-3,1.5130607e-05,3,normal
5,2025-08-23T10:17:07.998620,3,Zone 2-1,0.0005291346,121,normal
5,2025-08-23T10:17:07.998620,4,Zone 2-2,0.00030240472,69,normal
5,2025-08-23T10:17:07.998620,5,Zone 2-3,0.00018131094,41,normal
5,2025-08-23T10:17:07.998620,6,Zone 3-1,7.238214e-05,16,normal
5,2025-08-23T10:17:07.998620,7,Zone 3-2,5.7756733e-05,13,normal
5,2025-08-23T10:17:07.998620,8,Zone 3-3,0.00014508526,33,normal
6,2025-08-23T10:17:08.458836,0,Zone 1-1,6.500627e-06,1,normal
6,2025-08-23T10:17:08.458836,1,Zone 1-2,5.602896e-06,1,normal
6,2025-08-23T10:17:08.458836,2,Zone 1-3,1.1375575e-05,2,normal
6,2025-08-23T10:17:08.458836,3,Zone 2-1,0.00052653527,121,normal
6,2025-08-23T10:17:08.458836,4,Zone 2-2,0.00028686653,66,normal
6,2025-08-23T10:17:08.458836,5,Zone 2-3,0.00017720977,40,normal
6,2025-08-23T10:17:08.458836,6,Zone 3-1,7.681934e-05,17,normal
6,2025-08-23T10:17:08.458836,7,Zone 3-2,5.634065e-05,12,normal
6,2025-08-23T10:17:08.458836,8,Zone 3-3,0.00014212706,32,normal
7,2025-08-23T10:17:08.909455,0,Zone 1-1,6.9892194e-06,1,normal
7,2025-08-23T10:17:08.909455,1,Zone 1-2,4.934118e-06,1,normal
7,2025-08-23T10:17:08.909455,2,Zone 1-3,1.3463259e-05,3,normal
7,2025-08-23T10:17:08.909455,3,Zone 2-1,0.0005665186,130,normal
7,2025-08-23T10:17:08.909455,4,Zone 2-2,0.00031150758,71,normal
7,2025-08-23T10:17:08.909455,5,Zone 2-3,0.00018397614,42,normal
7,2025-08-23T10:17:08.909455,6,Zone 3-1,7.837096e-05,18,normal
7,2025-08-23T10:17:08.909455,7,Zone 3-2,5.932861e-05,13,normal
7,2025-08-23T10:17:08.909455,8,Zone 3-3,0.00014097524,32,normal
8,2025-08-23T10:17:09.360056,0,Zone 1-1,6.1854203e-06,1,normal
8,2025-08-23T10:17:09.360056,1,Zone 1-2,5.383533e-06,1,normal
8,2025-08-23T10:17:09.360056,2,Zone 1-3,1.0829657e-05,2,normal
8,2025-08-23T10:17:09.360056,3,Zone 2-1,0.00051019934,117,normal
8,2025-08-23T10:17:09.360056,4,Zone 2-2,0.00023811735,54,normal
8,2025-08-23T10:17:09.360056,5,Zone 2-3,0.00018020952,41,normal
8,2025-08-23T10:17:09.360056,6,Zone 3-1,7.974633e-05,18,normal
8,2025-08-23T10:17:09.360056,7,Zone 3-2,5.8581645e-05,13,normal
8,2025-08-23T10:17:09.360056,8,Zone 3-3,0.00013610449,31,normal
9,2025-08-23T10:17:09.811777,0,Zone 1-1,7.397965e-06,1,normal
9,2025-08-23T10:17:09.811777,1,Zone 1-2,4.7064327e-06,1,normal
9,2025-08-23T10:17:09.811777,2,Zone 1-3,1.2129303e-05,2,normal
9,2025-08-23T10:17:09.811777,3,Zone 2-1,0.00054309046,125,normal
9,2025-08-23T10:17:09.811777,4,Zone 2-2,0.0002857272,65,normal
9,2025-08-23T10:17:09.811777,5,Zone 2-3,0.0001834983,42,normal
9,2025-08-23T10:17:09.811777,6,Zone 3-1,8.016669e-05,18,normal
9,2025-08-23T10:17:09.811777,7,Zone 3-2,5.497531e-05,12,normal
9,2025-08-23T10:17:09.811777,8,Zone 3-3,0.00014836766,34,normal
10,2025-08-23T10:17:10.274940,0,Zone 1-1,7.390391e-06,1,normal
10,2025-08-23T10:17:10.274940,1,Zone 1-2,5.52714e-06,1,normal
10,2025-08-23T10:17:10.274940,2,Zone 1-3,1.16575175e-05,2,normal
10,2025-08-23T10:17:10.274940,3,Zone 2-1,0.00052848755,121,normal
10,2025-08-23T10:17:10.274940,4,Zone 2-2,0.00027470235,63,normal
10,2025-08-23T10:17:10.274940,5,Zone 2-3,0.00018298198,42,normal
10,2025-08-23T10:17:10.274940,6,Zone 3-1,8.042497e-05,18,normal
10,2025-08-23T10:17:10.274940,7,Zone 3-2,5.53056e-05,12,normal
10,2025-08-23T10:17:10.274940,8,Zone 3-3,0.00015221546,35,normal
11,2025-08-23T10:17:10.728553,0,Zone 1-1,9.626618e-06,2,normal
11,2025-08-23T10:17:10.728553,1,Zone 1-2,3.7837858e-06,0,normal
11,2025-08-23T10:17:10.728553,2,Zone 1-3,1.3107639e-05,3,normal
11,2025-08-23T10:17:10.728553,3,Zone 2-1,0.00057894574,133,normal
11,2025-08-23T10:17:10.728553,4,Zone 2-2,0.0003067133,70,normal
11,2025-08-23T10:17:10.728553,5,Zone 2-3,0.00019619887,45,normal
11,2025-08-23T10:17:10.728553,6,Zone 3-1,8.281678e-05,19,normal
11,2025-08-23T10:17:10.728553,7,Zone 3-2,5.5942477e-05,12,normal
11,2025-08-23T10:17:10.728553,8,Zone 3-3,0.00015813476,36,normal
12,2025-08-23T10:17:11.179185,0,Zone 1-1,7.903251e-06,1,normal
12,2025-08-23T10:17:11.179185,1,Zone 1-2,4.0323325e-06,0,normal
12,2025-08-23T10:17:11.179185,2,Zone 1-3,1.1540328e-05,2,normal
12,2025-08-23T10:17:11.179185,3,Zone 2-1,0.0005250891,120,normal
12,2025-08-23T10:17:11.179185,4,Zone 2-2,0.0002466647,56,normal
12,2025-08-23T10:17:11.179185,5,Zone 2-3,0.0001809279,41,normal
12,2025-08-23T10:17:11.179185,6,Zone 3-1,8.386596e-05,19,normal
12,2025-08-23T10:17:11.179185,7,Zone 3-2,5.8364567e-05,13,normal
12,2025-08-23T10:17:11.179185,8,Zone 3-3,0.00016820752,38,normal
13,2025-08-23T10:17:11.631088,0,Zone 1-1,9.5073565e-06,2,normal
13,2025-08-23T10:17:11.631088,1,Zone 1-2,4.495775e-06,1,normal
13,2025-08-23T10:17:11.631088,2,Zone 1-3,1.1802034e-05,2,normal
13,2025-08-23T10:17:11.631088,3,Zone 2-1,0.00053304195,122,normal
13,2025-08-23T10:17:11.631088,4,Zone 2-2,0.00027203915,62,normal
13,2025-08-23T10:17:11.631088,5,Zone 2-3,0.00018323542,42,normal
13,2025-08-23T10:17:11.631088,6,Zone 3-1,7.624106e-05,17,normal
13,2025-08-23T10:17:11.631088,7,Zone 3-2,5.580661e-05,12,normal
13,2025-08-23T10:17:11.631088,8,Zone 3-3,0.00016909908,38,normal
14,2025-08-23T10:17:12.080352,0,Zone 1-1,1.1433713e-05,2,normal
14,2025-08-23T10:17:12.080352,1,Zone 1-2,5.5084197e-06,1,normal
14,2025-08-23T10:17:12.080352,2,Zone 1-3,1.1423707e-05,2,normal
14,2025-08-23T10:17:12.080352,3,Zone 2-1,0.0005427663,124,normal
14,2025-08-23T10:17:12.080352,4,Zone 2-2,0.00024868792,57,normal
14,2025-08-23T10:17:12.080352,5,Zone 2-3,0.00017917834,41,normal
14,2025-08-23T10:17:12.080352,6,Zone 3-1,7.591024e-05,17,normal
14,2025-08-23T10:17:12.080352,7,Zone 3-2,6.0357812e-05,13,normal
14,2025-08-23T10:17:12.080352,8,Zone 3-3,0.00016818494,38,normal
15,2025-08-23T10:17:12.532419,0,Zone 1-1,1.1025024e-05,2,normal
15,2025-08-23T10:17:12.532419,1,Zone 1-2,4.347001e-06,1,normal
15,2025-08-23T10:17:12.532419,2,Zone 1-3,1.1235692e-05,2,normal
15,2025-08-23T10:17:12.532419,3,Zone 2-1,0.0005913973,136,normal
15,2025-08-23T10:17:12.532419,4,Zone 2-2,0.00027592748,63,normal
15,2025-08-23T10:17:12.532419,5,Zone 2-3,0.00018939978,43,normal
15,2025-08-23T10:17:12.532419,6,Zone 3-1,7.6766824e-05,17,normal
15,2025-08-23T10:17:12.532419,7,Zone 3-2,5.9927526e-05,13,normal
15,2025-08-23T10:17:12.532419,8,Zone 3-3,0.00016584912,38,normal
16,2025-08-23T10:17:12.984574,0,Zone 1-1,8.165081e-06,1,normal
16,2025-08-23T10:17:12.984574,1,Zone 1-2,5.8442324e-06,1,normal
16,2025-08-23T10:17:12.984574,2,Zone 1-3,9.050988e-06,2,normal
16,2025-08-23T10:17:12.984574,3,Zone 2-1,0.0005637158,129,normal
16,2025-08-23T10:17:12.984574,4,Zone 2-2,0.00027759722,63,normal
16,2025-08-23T10:17:12.984574,5,Zone 2-3,0.00017781416,40,normal
16,2025-08-23T10:17:12.984574,6,Zone 3-1,7.085912e-05,16,normal
