frame_number,timestamp,zone_id,zone_name,density,crowd_count_estimate,status
1,2025-08-23T09:53:11.678129,0,Zone 1-1,2.5447709e-05,5,normal
1,2025-08-23T09:53:11.678129,1,Zone 1-2,4.5498444e-05,10,normal
1,2025-08-23T09:53:11.678129,2,Zone 1-3,3.3718436e-05,7,normal
1,2025-08-23T09:53:11.678129,3,Zone 2-1,0.000107474676,24,normal
1,2025-08-23T09:53:11.678129,4,Zone 2-2,0.00018124405,41,normal
1,2025-08-23T09:53:11.678129,5,Zone 2-3,4.025701e-05,9,normal
1,2025-08-23T09:53:11.678129,6,Zone 3-1,2.7410511e-05,6,normal
1,2025-08-23T09:53:11.678129,7,Zone 3-2,4.0536605e-05,9,normal
1,2025-08-23T09:53:11.678129,8,Zone 3-3,7.823737e-05,17,normal
2,2025-08-23T09:53:12.153790,0,Zone 1-1,2.3958282e-05,5,normal
2,2025-08-23T09:53:12.153790,1,Zone 1-2,4.7832447e-05,10,normal
2,2025-08-23T09:53:12.153790,2,Zone 1-3,3.9124243e-05,8,normal
2,2025-08-23T09:53:12.153790,3,Zone 2-1,0.00011568119,26,normal
2,2025-08-23T09:53:12.153790,4,Zone 2-2,0.00022235101,51,normal
2,2025-08-23T09:53:12.153790,5,Zone 2-3,4.3298307e-05,9,normal
2,2025-08-23T09:53:12.153790,6,Zone 3-1,2.8054612e-05,6,normal
2,2025-08-23T09:53:12.153790,7,Zone 3-2,4.3309934e-05,9,normal
2,2025-08-23T09:53:12.153790,8,Zone 3-3,7.656657e-05,17,normal
3,2025-08-23T09:53:12.607976,0,Zone 1-1,2.8239292e-05,6,normal
3,2025-08-23T09:53:12.607976,1,Zone 1-2,5.0842118e-05,11,normal
3,2025-08-23T09:53:12.607976,2,Zone 1-3,4.021498e-05,9,normal
3,2025-08-23T09:53:12.607976,3,Zone 2-1,0.000110993504,25,normal
3,2025-08-23T09:53:12.607976,4,Zone 2-2,0.0001986704,45,normal
3,2025-08-23T09:53:12.607976,5,Zone 2-3,4.1326482e-05,9,normal
3,2025-08-23T09:53:12.607976,6,Zone 3-1,2.832545e-05,6,normal
3,2025-08-23T09:53:12.607976,7,Zone 3-2,4.4851648e-05,10,normal
3,2025-08-23T09:53:12.607976,8,Zone 3-3,8.199111e-05,18,normal
4,2025-08-23T09:53:13.059402,0,Zone 1-1,2.5024774e-05,5,normal
4,2025-08-23T09:53:13.059402,1,Zone 1-2,5.1377578e-05,11,normal
4,2025-08-23T09:53:13.059402,2,Zone 1-3,4.0514307e-05,9,normal
